"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
19,"Spotify",8,"Yes","No","No","K pop","Yes","Yes",100,"Very frequently","Never","Rarely","Never","Never","Sometimes","Sometimes","Very frequently","Never","Very frequently","Never","Very frequently","Sometimes","Rarely","Rarely","Rarely",4,3,0,0,"Improve"
23,"Spotify",4,"Yes","No","No","Hip hop","Yes","Yes",78,"Rarely","Never","Sometimes","Sometimes","Never","Very frequently","Rarely","Very frequently","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",7,6,7,5,"Improve"
23,"Spotify",2,"No","Yes","No","Metal","No","Yes",117,"Never","Never","Rarely","Never","Never","Rarely","Rarely","Never","Never","Never","Very frequently","Never","Never","Rarely","Sometimes","Never",7,3,2,3,"Improve"
22,"Spotify",1,"No","No","Yes","EDM","Yes","No",128,"Never","Never","Very frequently","Never","Rarely","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Very frequently","Sometimes","Sometimes","Never",2,7,5,0,"Improve"
17,"Spotify",3,"Yes","No","No","Rock","Yes","No",130,"Rarely","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Rarely","Never","Very frequently","Sometimes","Very frequently","Very frequently","Sometimes","Very frequently","Sometimes",7,8,6,5,"Improve"
28,"Spotify",0.5,"No","No","No","Folk","Yes","No",130,"Rarely","Sometimes","Never","Very frequently","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Never","Rarely","Very frequently","Rarely",4,7,1,0,"Improve"
23,"Spotify",2,"No","No","No","Rock","Yes","Yes",136.673079065529,"Never","Never","Never","Never","Never","Sometimes","Never","Sometimes","Never","Never","Very frequently","Very frequently","Never","Sometimes","Very frequently","Sometimes",7,8,5,1,"No effect"
19,"Apple Music",3,"Yes","No","No","Rock","Yes","Yes",126,"Never","Sometimes","Sometimes","Never","Never","Very frequently","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Sometimes","Very frequently","Sometimes",5,2,8,6,"Improve"
17,"Spotify",2,"Yes","Yes","Yes","Hip hop","Yes","Yes",122,"Rarely","Never","Sometimes","Sometimes","Never","Very frequently","Sometimes","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Very frequently","Very frequently","Never",10,7,4,2,"Improve"
21,"YouTube Music",1,"No","No","No","Rock","Yes","No",179,"Never","Rarely","Never","Rarely","Never","Sometimes","Rarely","Never","Never","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Very frequently","Rarely",6,5,0,0,"No effect"
29,"Other streaming service",5,"Yes","No","No","Jazz","Yes","Yes",200,"Rarely","Never","Never","Rarely","Never","Never","Very frequently","Never","Rarely","Rarely","Rarely","Never","Sometimes","Never","Very frequently","Sometimes",7,2,3,1,"Improve"
22,"Spotify",10,"No","Yes","Yes","EDM","No","Yes",128,"Sometimes","Sometimes","Very frequently","Very frequently","Never","Never","Rarely","Never","Never","Never","Rarely","Never","Rarely","Never","Sometimes","Sometimes",4,7,7,3,"Improve"
18,"Spotify",4,"Yes","Yes","Yes","Pop","Yes","Yes",130,"Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Rarely","Rarely","Very frequently","Very frequently",4,5,6,5,"Improve"
13,"Spotify",2,"Yes","Yes","Yes","Rock","Yes","No",120,"Rarely","Never","Sometimes","Very frequently","Rarely","Sometimes","Never","Never","Never","Sometimes","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently",7,10,5,6,"Worsen"
24,"Spotify",1,"No","No","No","Metal","Yes","No",86,"Sometimes","Never","Rarely","Rarely","Never","Rarely","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",6,4,5,0,"Improve"
35,"Spotify",6,"Yes","No","No","Rock","Yes","Yes",166,"Sometimes","Rarely","Sometimes","Very frequently","Never","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Sometimes",4,1,3,1,"No effect"
29,"YouTube Music",1,"Yes","Yes","No","Video game music","Yes","No",110,"Sometimes","Never","Never","Rarely","Sometimes","Never","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Never","Sometimes","Sometimes",6,6,1,2,"Improve"
28,"Spotify",6,"Yes","No","No","Rock","No","No",144,"Sometimes","Rarely","Never","Sometimes","Never","Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Very frequently","Very frequently",10,8,7,1,"Improve"
32,"Spotify",7,"Yes","No","No","Pop","Yes","Yes",120,"Sometimes","Never","Rarely","Never","Never","Sometimes","Rarely","Never","Never","Rarely","Rarely","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently",10,8,2,8,"Improve"
32,"Other streaming service",1,"No","No","No","EDM","Yes","No",120,"Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Rarely","Never","Rarely","Rarely","Never","Sometimes","Rarely","Rarely","Rarely","Never",3,6,2,0,"No effect"
21,"Spotify",3,"Yes","Yes","No","Rock","Yes","No",160,"Never","Never","Never","Very frequently","Never","Sometimes","Never","Never","Never","Sometimes","Very frequently","Rarely","Never","Rarely","Very frequently","Sometimes",8,9,2,0,"Improve"
18,"Spotify",2,"Yes","Yes","No","Video game music","No","Yes",101,"Never","Never","Sometimes","Never","Never","Rarely","Never","Never","Never","Rarely","Never","Rarely","Never","Never","Sometimes","Very frequently",8,3,8,7,"Improve"
19,"Spotify",3,"Yes","Yes","No","Classical","Yes","No",122,"Very frequently","Rarely","Never","Never","Never","Never","Never","Rarely","Never","Sometimes","Never","Very frequently","Never","Never","Rarely","Sometimes",3,3,1,2,"Improve"
18,"Apple Music",2,"Yes","Yes","No","Pop","Yes","Yes",123.438419536754,"Rarely","Rarely","Never","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Never",6,5,2,0,"Improve"
16,"YouTube Music",3,"Yes","No","Yes","Pop","No","No",121.363920215365,"Rarely","Sometimes","Sometimes","Never","Never","Rarely","Never","Sometimes","Never","Sometimes","Never","Very frequently","Never","Rarely","Very frequently","Rarely",0,0,4,0,"No effect"
25,"Spotify",1.5,"Yes","No","No","Pop","No","No",61,"Sometimes","Rarely","Rarely","Sometimes","Never","Rarely","Never","Never","Never","Rarely","Rarely","Very frequently","Very frequently","Rarely","Very frequently","Never",6,5,0,2,"Improve"
17,"Spotify",4,"Yes","No","No","Lofi","Yes","Yes",79,"Very frequently","Never","Never","Never","Sometimes","Sometimes","Rarely","Sometimes","Never","Very frequently","Never","Very frequently","Sometimes","Sometimes","Rarely","Very frequently",3,8,0,0,"Improve"
16,"Spotify",2,"Yes","No","No","Rap","Yes","Yes",126,"Very frequently","Never","Never","Never","Never","Very frequently","Never","Sometimes","Never","Rarely","Never","Very frequently","Very frequently","Very frequently","Never","Sometimes",1,8,0,0,"No effect"
27,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",185,"Sometimes","Never","Sometimes","Never","Never","Sometimes","Rarely","Never","Never","Rarely","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Rarely",5,6,6,3,"Improve"
53,"Spotify",7,"Yes","No","No","Pop","Yes","Yes",92,"Very frequently","Sometimes","Very frequently","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Rarely","Very frequently","Very frequently","Rarely","Very frequently","Rarely",0,0,0,0,"Improve"
25,"Spotify",1,"Yes","No","No","EDM","No","No",107,"Never","Never","Very frequently","Never","Never","Rarely","Never","Rarely","Never","Rarely","Never","Never","Never","Never","Rarely","Rarely",0,8,0,0,"Improve"
34,"Spotify",2,"No","No","No","Metal","No","No",120,"Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Sometimes","Never",3,7,0,0,"Improve"
22,"Other streaming service",6,"Yes","Yes","Yes","Jazz","Yes","Yes",140,"Sometimes","Rarely","Very frequently","Very frequently","Rarely","Very frequently","Very frequently","Rarely","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",8,8,8,5,"Improve"
17,"Spotify",2,"Yes","Yes","Yes","Jazz","Yes","No",94,"Sometimes","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Rarely","Sometimes","Very frequently","Never","Rarely","Very frequently","Rarely",5,2,3,4,"Improve"
26,"Spotify",3,"Yes","Yes","No","Folk","Yes","No",160,"Rarely","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes",8,8,3,0,"Improve"
19,"Spotify",8,"Yes","No","No","EDM","Yes","No",174,"Never","Never","Very frequently","Never","Never","Sometimes","Never","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never",6,8,8,0,"Improve"
21,"Spotify",3,"Yes","No","No","Pop","Yes","Yes",136,"Rarely","Very frequently","Sometimes","Rarely","Never","Very frequently","Rarely","Never","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",6,8,6,0,"Worsen"
32,"Spotify",3,"Yes","Yes","Yes","Rock","Yes","Yes",144,"Rarely","Rarely","Sometimes","Very frequently","Never","Sometimes","Rarely","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Rarely","Very frequently","Rarely",6,6,7,5,"Improve"
21,"I do not use a streaming service.",3,"Yes","No","No","Rock","No","No",77,"Never","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Rarely","Never","Rarely","Rarely","Rarely","Sometimes","Very frequently","Very frequently",9,10,3,0,"No effect"
25,"Spotify",2,"No","Yes","No","Pop","No","No",120,"Rarely","Never","Never","Rarely","Never","Sometimes","Never","Never","Sometimes","Never","Never","Very frequently","Sometimes","Very frequently","Very frequently","Rarely",7,7,5,0,"Improve"
26,"Spotify",1,"No","No","No","Rock","No","No",125.954753074682,"Rarely","Never","Rarely","Rarely","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Very frequently","Never",10,7,2,8,"No effect"
21,"Spotify",2,"Yes","Yes","No","Metal","Yes","Yes",134.22532311578,"Rarely","Never","Never","Sometimes","Never","Rarely","Never","Never","Never","Rarely","Very frequently","Rarely","Never","Rarely","Very frequently","Sometimes",1,3,0,6,"No effect"
17,"Spotify",2,"Yes","Yes","No","Pop","No","Yes",112.195580143202,"Rarely","Never","Never","Never","Never","Rarely","Very frequently","Very frequently","Never","Very frequently","Never","Very frequently","Very frequently","Sometimes","Never","Sometimes",5,3,2,1,"Improve"
28,"I do not use a streaming service.",4,"Yes","No","No","Rock","Yes","Yes",194,"Rarely","Sometimes","Rarely","Rarely","Never","Sometimes","Sometimes","Rarely","Never","Never","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Sometimes",6,8,1,6,"Improve"
41,"YouTube Music",4,"Yes","No","No","Pop","Yes","No",60,"Rarely","Never","Sometimes","Very frequently","Never","Very frequently","Sometimes","Rarely","Rarely","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Very frequently","Rarely",7,2,0,7,"Improve"
18,"Spotify",1,"Yes","Yes","No","Metal","Yes","Yes",190,"Rarely","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Never","Very frequently","Rarely","Never","Sometimes","Very frequently","Sometimes",6,9,9,0,"Improve"
22,"Spotify",2,"No","No","No","R&B","No","Yes",87,"Sometimes","Never","Never","Never","Never","Rarely","Never","Very frequently","Very frequently","Sometimes","Never","Sometimes","Very frequently","Rarely","Rarely","Sometimes",1,1,4,1,"No effect"
49,"Other streaming service",1,"Yes","No","No","EDM","Yes","No",156,"Sometimes","Never","Very frequently","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Sometimes",8,8,2,0,"Improve"
21,"Spotify",3,"Yes","Yes","Yes","Metal","Yes","No",150,"Sometimes","Rarely","Rarely","Sometimes","Never","Rarely","Rarely","Rarely","Never","Sometimes","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Sometimes",3,3,7,0,"No effect"
27,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",194,"Never","Rarely","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Sometimes","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",8,8,3,0,"Improve"
19,"Spotify",1,"No","No","Yes","Metal","Yes","Yes",160,"Never","Never","Never","Never","Never","Rarely","Never","Never","Never","Sometimes","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Never",6,4,0,3,"No effect"
27,"Spotify",3,"Yes","No","No","Metal","Yes","Yes",171,"Sometimes","Never","Never","Rarely","Never","Sometimes","Rarely","Never","Never","Rarely","Very frequently","Never","Rarely","Sometimes","Sometimes","Rarely",1,0,0,0,"Improve"
27,"Spotify",1.5,"Yes","No","No","Rock","No","No",95,"Never","Never","Never","Rarely","Never","Sometimes","Never","Rarely","Never","Rarely","Very frequently","Sometimes","Never","Sometimes","Very frequently","Sometimes",5,5,4,4,"Improve"
42,"YouTube Music",2.5,"Yes","Yes","No","Rock","No","Yes",148,"Sometimes","Rarely","Very frequently","Rarely","Never","Sometimes","Very frequently","Never","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely",8,8,7,6,"Improve"
60,"Pandora",2,"Yes","No","No","Gospel","No","No",119,"Rarely","Sometimes","Never","Rarely","Very frequently","Never","Never","Never","Rarely","Never","Never","Sometimes","Rarely","Never","Sometimes","Never",3,0,2,0,"Improve"
19,"YouTube Music",5,"Yes","No","No","Metal","No","Yes",136,"Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Never","Never","Very frequently","Very frequently","Never","Never","Sometimes","Very frequently","Sometimes",0,5,1,0,"No effect"
20,"Apple Music",2,"Yes","No","No","Pop","Yes","No",141,"Rarely","Never","Never","Rarely","Never","Sometimes","Rarely","Never","Never","Sometimes","Never","Very frequently","Sometimes","Rarely","Sometimes","Rarely",6,3,0,0,"Improve"
28,"Spotify",2,"No","No","Yes","Metal","No","No",146,"Rarely","Never","Never","Rarely","Never","Rarely","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Sometimes","Rarely",1,7,5,1,"Improve"
16,"I do not use a streaming service.",2,"No","Yes","Yes","Video game music","Yes","No",107.561839817027,"Sometimes","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Rarely","Never","Sometimes","Never","Sometimes","Sometimes","Rarely","Rarely","Sometimes",4,2,1,1,"No effect"
18,"Spotify",2,"Yes","No","No","R&B","No","Yes",164,"Sometimes","Never","Never","Never","Never","Rarely","Never","Never","Never","Rarely","Never","Very frequently","Very frequently","Rarely","Never","Never",5,6,0,1,"No effect"
34,"Spotify",1,"Yes","No","No","Rock","Yes","Yes",143.228530870228,"Rarely","Never","Very frequently","Never","Never","Never","Never","Very frequently","Never","Rarely","Very frequently","Rarely","Never","Never","Very frequently","Very frequently",1,0,0,0,"No effect"
18,"YouTube Music",1.5,"Yes","No","No","Pop","Yes","No",111.295638568238,"Never","Rarely","Rarely","Never","Never","Rarely","Very frequently","Sometimes","Rarely","Very frequently","Never","Very frequently","Sometimes","Rarely","Rarely","Very frequently",8,6,5,2,"Improve"
21,"Spotify",5,"Yes","Yes","Yes","Folk","Yes","Yes",128,"Sometimes","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Never","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Rarely","Very frequently","Rarely",9,4,0,3,"Improve"
38,"Spotify",0.5,"No","No","No","Rock","Yes","Yes",98.9129522612821,"Never","Never","Rarely","Sometimes","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Never","Very frequently","Sometimes","Rarely","Very frequently","Never",4,6,6,4,"Improve"
17,"Spotify",2,"Yes","No","No","Rock","No","Yes",127.224400056439,"Never","Rarely","Rarely","Rarely","Never","Never","Never","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Rarely","Very frequently","Very frequently",7,3,1,5,"Improve"
35,"Other streaming service",0.5,"No","No","No","Pop","No","No",117.669815609959,"Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Rarely","Never","Very frequently","Rarely","Never","Sometimes","Rarely",10,3,1,0,"No effect"
21,"I do not use a streaming service.",2,"Yes","No","No","Rock","No","Yes",101,"Rarely","Sometimes","Rarely","Sometimes","Never","Very frequently","Rarely","Never","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Rarely",8,8,3,0,"Improve"
25,"Apple Music",2.5,"Yes","No","No","R&B","No","No",104.718533029842,"Rarely","Never","Never","Rarely","Rarely","Sometimes","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","Sometimes",7,6,5,4,"Improve"
